FECHA_CREACION;CARRERA;NIVEL_1;NIVEL_2;NIVEL_3;NIVEL_4
24-07-2023 12:15;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS - Vespertino;Tecnología;Plataformas Alumnos;Firma Electrónica Contrato Continuidad;Resuelto
24-07-2023 12:09;INGENIERÍA EN COMERCIO EXTERIOR;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 12:08;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Firma electrónica consentimiento deuda;Resuelto
24-07-2023 12:07;TURISMO Y HOTELERÍA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 12:06;TOURISM AND HOSPITALITY;Académico;Interrupción del semestre;Renuncia;Resuelto
24-07-2023 12:01;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS - Vespertino;Información general;Información general;Servicios y otros;Resuelto
24-07-2023 12:00;TURISMO Y HOTELERÍA MENCIÓN EMPRESAS TURÍSTICAS;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
24-07-2023 11:57;INGENIERÍA EN ADMINISTRACIÓN;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
24-07-2023 11:57;INGENIERÍA EN COMERCIO EXTERIOR;Tecnología;Plataformas Alumnos;Firma Electrónica Contrato Continuidad;Resuelto
24-07-2023 11:51;TURISMO Y HOTELERÍA MENCIÓN EMPRESAS TURÍSTICAS;Académico;Información o convalidación;Prácticas;Resuelto
24-07-2023 11:46;TURISMO Y HOTELERÍA MENCIÓN EMPRESAS TURÍSTICAS;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
24-07-2023 11:44;INGENIERÍA EN INFORMÁTICA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 11:41;;Vida estudiantil;Informaciones y otros;Información de contacto;Resuelto
24-07-2023 11:40;INGENIERÍA EN ADMINISTRACIÓN HOTELERA MENCIÓN ALIMENTOS Y BEBIDAS;Titulado;Información y gestión;Cuenta titulado;Resuelto
24-07-2023 11:40;INGENIERÍA EN CONECTIVIDAD Y REDES;Titulado;Información y gestión;Cuenta titulado;Resuelto
24-07-2023 11:37;GASTRONOMÍA INTERNACIONAL;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
24-07-2023 11:32;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS - Vespertino;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
24-07-2023 11:29;AUDITORÍA - Vespertino;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 11:28;TOURISM AND HOSPITALITY;Titulado;Información y gestión;Cuenta titulado;Resuelto
24-07-2023 11:27;AUDITORÍA - Vespertino;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
24-07-2023 11:27;INGENIERÍA EN INFORMÁTICA;Académico;Admisión especial interna ;Cambio de sede;Resuelto
24-07-2023 11:23;INGENIERÍA EN ADMINISTRACIÓN;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 11:17;TOURISM AND HOSPITALITY;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
24-07-2023 11:16;INGENIERÍA EN COMERCIO EXTERIOR;Información general;Información general;Servicios y otros;Resuelto
24-07-2023 11:13;INGENIERIA EN GESTION DE TECNO;Académico;Contacto coordinador de carrera;Programa de estudios;Resuelto
24-07-2023 11:10;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS - Vespertino;Académico;Admisión especial interna ;Cambio de jornada;Resuelto
24-07-2023 11:02;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN FINANZAS;Académico;Contacto coordinador de carrera;Programa de estudios;Resuelto
24-07-2023 11:01;INGENIERÍA DE EJECUCIÓN EN ADMINISTRACIÓN;Titulado;Información y gestión;Cuenta titulado;Resuelto
24-07-2023 10:59;INGENIERÍA EN INFORMÁTICA;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
24-07-2023 10:49;INGENIERÍA EN ADMINISTRACIÓN;Titulado;Información y gestión;Cuenta titulado;Resuelto
24-07-2023 10:46;INGENIERÍA EN COMERCIO EXTERIOR;Académico;Admisión especial interna ;Cambio de sede;Resuelto
24-07-2023 10:44;TÉCNICO EN GESTIÓN LOGÍSTICA;Tecnología;Gestión de cuentas;Cuenta alumno continuidad;Resuelto
24-07-2023 10:38;;Titulado;Información y gestión;Certificado de título;Resuelto
